Date,Rating,Review_No_x,Review_No_y,Perc
2017-04-30,1,5,49,0.10204081632653061
2017-04-30,2,1,49,0.02040816326530612
2017-04-30,3,3,49,0.061224489795918366
2017-04-30,4,16,49,0.32653061224489793
2017-04-30,5,24,49,0.4897959183673469
2017-05-01,1,9,136,0.0661764705882353
2017-05-01,2,6,136,0.04411764705882353
2017-05-01,3,4,136,0.029411764705882353
2017-05-01,4,18,136,0.1323529411764706
2017-05-01,5,99,136,0.7279411764705882
2017-05-02,1,10,126,0.07936507936507936
2017-05-02,2,1,126,0.007936507936507936
2017-05-02,3,2,126,0.015873015873015872
2017-05-02,4,21,126,0.16666666666666666
2017-05-02,5,92,126,0.7301587301587301
2017-05-03,1,11,150,0.07333333333333333
2017-05-03,2,1,150,0.006666666666666667
2017-05-03,3,6,150,0.04
2017-05-03,4,24,150,0.16
2017-05-03,5,108,150,0.72
2017-05-04,1,7,250,0.028
2017-05-04,2,6,250,0.024
2017-05-04,3,9,250,0.036
2017-05-04,4,29,250,0.116
2017-05-04,5,199,250,0.796
2017-05-05,1,4,186,0.021505376344086023
2017-05-05,2,6,186,0.03225806451612903
2017-05-05,3,11,186,0.05913978494623656
2017-05-05,4,22,186,0.11827956989247312
2017-05-05,5,143,186,0.7688172043010753
2017-05-06,1,3,155,0.01935483870967742
2017-05-06,2,2,155,0.012903225806451613
2017-05-06,3,8,155,0.05161290322580645
2017-05-06,4,17,155,0.10967741935483871
2017-05-06,5,125,155,0.8064516129032258
2017-05-07,1,10,162,0.06172839506172839
2017-05-07,3,8,162,0.04938271604938271
2017-05-07,4,22,162,0.13580246913580246
2017-05-07,5,122,162,0.7530864197530864
2017-05-08,1,11,165,0.06666666666666667
2017-05-08,2,2,165,0.012121212121212121
2017-05-08,3,9,165,0.05454545454545454
2017-05-08,4,17,165,0.10303030303030303
2017-05-08,5,126,165,0.7636363636363637
2017-05-09,1,7,148,0.0472972972972973
2017-05-09,2,2,148,0.013513513513513514
2017-05-09,3,5,148,0.033783783783783786
2017-05-09,4,15,148,0.10135135135135136
2017-05-09,5,119,148,0.8040540540540541
2017-05-10,1,7,138,0.050724637681159424
2017-05-10,2,2,138,0.014492753623188406
2017-05-10,3,2,138,0.014492753623188406
2017-05-10,4,14,138,0.10144927536231885
2017-05-10,5,113,138,0.8188405797101449
2017-05-11,1,14,125,0.112
2017-05-11,2,6,125,0.048
2017-05-11,3,3,125,0.024
2017-05-11,4,11,125,0.088
2017-05-11,5,91,125,0.728
2017-05-12,1,7,109,0.06422018348623854
2017-05-12,2,5,109,0.045871559633027525
2017-05-12,3,1,109,0.009174311926605505
2017-05-12,4,14,109,0.12844036697247707
2017-05-12,5,82,109,0.7522935779816514
2017-05-13,1,8,130,0.06153846153846154
2017-05-13,2,4,130,0.03076923076923077
2017-05-13,3,5,130,0.038461538461538464
2017-05-13,4,18,130,0.13846153846153847
2017-05-13,5,95,130,0.7307692307692307
2017-05-14,1,4,111,0.036036036036036036
2017-05-14,2,3,111,0.02702702702702703
2017-05-14,3,5,111,0.04504504504504504
2017-05-14,4,15,111,0.13513513513513514
2017-05-14,5,84,111,0.7567567567567568
2017-05-15,1,11,124,0.08870967741935484
2017-05-15,2,4,124,0.03225806451612903
2017-05-15,3,3,124,0.024193548387096774
2017-05-15,4,18,124,0.14516129032258066
2017-05-15,5,88,124,0.7096774193548387
2017-05-16,1,10,129,0.07751937984496124
2017-05-16,2,3,129,0.023255813953488372
2017-05-16,3,5,129,0.03875968992248062
2017-05-16,4,25,129,0.1937984496124031
2017-05-16,5,86,129,0.6666666666666666
2017-05-17,1,7,121,0.05785123966942149
2017-05-17,2,1,121,0.008264462809917356
2017-05-17,3,4,121,0.03305785123966942
2017-05-17,4,16,121,0.1322314049586777
2017-05-17,5,93,121,0.768595041322314
2017-05-18,1,11,130,0.08461538461538462
2017-05-18,2,5,130,0.038461538461538464
2017-05-18,3,5,130,0.038461538461538464
2017-05-18,4,8,130,0.06153846153846154
2017-05-18,5,101,130,0.7769230769230769
2017-05-19,1,5,109,0.045871559633027525
2017-05-19,2,5,109,0.045871559633027525
2017-05-19,3,4,109,0.03669724770642202
2017-05-19,4,12,109,0.11009174311926606
2017-05-19,5,83,109,0.7614678899082569
2017-05-20,1,8,119,0.06722689075630252
2017-05-20,2,3,119,0.025210084033613446
2017-05-20,3,4,119,0.03361344537815126
2017-05-20,4,18,119,0.15126050420168066
2017-05-20,5,86,119,0.7226890756302521
2017-05-21,1,19,173,0.10982658959537572
2017-05-21,2,4,173,0.023121387283236993
2017-05-21,3,9,173,0.05202312138728324
2017-05-21,4,26,173,0.15028901734104047
2017-05-21,5,115,173,0.6647398843930635
2017-05-22,1,6,109,0.05504587155963303
2017-05-22,2,1,109,0.009174311926605505
2017-05-22,3,4,109,0.03669724770642202
2017-05-22,4,13,109,0.11926605504587157
2017-05-22,5,85,109,0.7798165137614679
