Dominant_Topic,Topic_Keywords,Num_Reviews,Perc_Reviews,1_Star,2_Star,3_Star,4_Star,5_Star
1.0,"game, day, play, gift, thing, hour, ad, stupid, happy, week",39600,20.14344575003815,5909,1423,3088,7362,21818
2.0,"game, love, nice, awesome, cool, good, excellent, brilliant, lol, interesting",11166,5.679841294063787,289,94,334,1836,8613
3.0,"chip, free, spin, bonus, coin, gold, purchase, lucky, video, daily",7868,4.002238160638893,2518,642,936,1296,2476
4.0,"problem, fix, connection, app, issue, error, bug, internet, work, open",7808,3.9717177882903507,3174,1016,1234,1367,1017
5.0,"great, game, slow, graphic, fun, enjoyable, fast, job, fantastic, bit",13832,7.035963172084032,588,219,538,2718,9769
6.0,"time, long, alot, waste, worth, terrible, winning, mil, garbage, half",7777,3.9559489292436036,2138,482,681,1625,2851
7.0,"game, nice, good, enjoy, perfect, wonderful, sweet, brilliant, addicted, entertaining",11632,5.916882852637468,401,101,415,2113,8602
8.0,"app, phone, notification, annoying, uninstalled, uninstall, message, turn, minute, delete",6785,3.451345439747698,2669,740,825,1079,1472
9.0,"bad, chip, guy, crap, luck, poor, customer, due, system, horrible",6312,3.210743171066687,3360,434,563,791,1164
10.0,"good, game, poker, favorite, favourite, pro, token, gooood, multiplayer, stuff",10709,5.4473777913423875,338,99,454,1981,7837
11.0,"update, version, screen, work, load, button, bet, force, close, fold",7424,3.7763874052596775,3717,901,954,1032,820
12.0,"player, people, fair, bot, high, level, low, computer, stake, cheater",5768,2.9340251284399,2078,408,587,1036,1659
13.0,"poker, year, playing, site, play, experience, online, point, world, realistic",7007,3.564270817437306,852,206,411,1382,4156
14.0,"star, play, account, reason, log, app, change, download, facebook, rate",5304,2.6980009156111704,2244,558,669,866,967
15.0,"good, game, poker, mind, practice, market, blast, baby, girl, boy",9451,4.8074673177679434,272,84,390,1853,6852
16.0,"money, real, win, big, lose, people, loose, amount, buy, fake",5691,2.8948573172592704,1990,396,539,864,1902
17.0,"game, love, good, awesome, great, addictive, amazing, excellent, beautiful, busy",9858,5.014497176865558,166,34,163,1324,8171
18.0,"table, friend, tournament, option, buddy, place, sit, room, top, small",5961,3.0321989928277127,1542,681,982,1441,1315
19.0,"hand, card, full, pair, pot, straight, flush, kind, random, person",5882,2.9920138359021315,2747,697,780,738,920
20.0,"fun, play, lot, easy, great, challenge, exciting, quick, control, simple",10755,5.470776743476271,284,105,449,2566,7351
